Code,Description,Default_Translation (en-en),Target_Translation (sl-si),Has_Translation
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,Vizija KPI v igri,Yes
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,Ime ekipe,Yes
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,Bni Teams Vision,Yes
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,Nazadnje ni pripeljal nobenega obiskovalca,Yes
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,Poslovni profil,Yes
I18N_CANCEL,I18NCode for Cancel,Cancel,Prekliči,Yes
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return","Ne, vrni se",Yes
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!","Da, prekliči!",Yes
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,"Ste prepričani, da želite preklicati?",Yes
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,Vaš obrazec ni bil preklican!,Yes
I18N_CC,I18NCode for #CC,#CC,#CC,Yes
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,Osnovna poglavja brez novih članov v zadnjih 15 dneh,Yes
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,Mobilni telefon,Yes
I18N_CEU,I18NCode for CEU,CEU,CEU,Yes
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,Ceu je obvezen,Yes
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,CEU,Yes
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,Vrednost stola,Yes
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,Spremeni sliko,Yes
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,Spremenite iskanje,Yes
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,Spremembe uspešno shranjene!,Yes
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,Poglavje AVG,Yes
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,Stran s podrobnostmi o poglavju,Yes
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,Poglavje Cilj,Yes
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,Uredi cilj poglavja,Yes
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,poglavje,Yes
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,poglavje,Yes
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,Poglavje je obvezno,Yes
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,Čas po zagonu,Yes
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,poglavje,Yes
I18N_CHAPTERS,I18nCode for chapters,Chapters,Poglavja,Yes
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,Ime skupine za klepet,Yes
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,Klepetajte zasebno s stikom,Yes
I18N_CHATS,i18NCode for Chats,chats,klepeti,Yes
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,Izberite vrsto klepeta,Yes
I18N_CITY,I18NCode for City,City,Mesto,Yes
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,Kategorija,Yes
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,Počisti izbiro,Yes
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,Za izbiro kliknite spodaj,Yes
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,Za izbiro kliknite spodaj,Yes
I18N_CLOSE,I18Ncode button close,Close,Zapri,Yes
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,Zapri napredno iskanje,Yes
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!","Ja, zapri!",Yes
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,"Ste prepričani, da želite zapreti?",Yes
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,Zaprto,Yes
I18N_CM,I18NCode for #CM,#CM,#CM,Yes
I18N_CODE,,Code,Koda,Yes
I18N_COMPANY,I18NCode for Company,Company,Podjetje,Yes
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,Informacije o podjetju,Yes
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,Ime podjetja,Yes
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,Za začetek dokončajte postopek nastavitve računa,Yes
I18N_COMPLETED,I18NCode to Completed,Completed,Dokončano,Yes
I18N_CONFIG,I18NCode for Config,Config,Config,Yes
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,Obdobje konfiguracije in igre,Yes
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,Potrdite geslo,Yes
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,Dosledna rast,Yes
I18N_CONTACT,I18NCode for Contact,Contact,Kontakt,Yes
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,Kontaktni podatki naše pooblaščene osebe za varstvo podatkov,Yes
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,Kontaktni podatki,Yes
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,Kontaktna krogla,Yes
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,Kontaktne krogle,Yes
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.",Kontaktne krogle,Yes
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,Kontaktirajte nas,Yes
I18N_CONTACTS,I18NCode for Contacts,Contacts,Kontakti,Yes
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,Upravljanje vsebine,Yes
I18N_CONTEXT,I18NCode for Context,Context,Kontekst,Yes
I18N_CONTEXT_CODE,,Context,Kontekst,Yes
I18N_CONTEXT_DESCRIPTION,,Context description,Opis konteksta,Yes
I18N_CONTEXT_NAME,,Context Name,Ime konteksta,Yes
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,Konteksti,Yes
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,Datum pogodbe,Yes
I18N_CONV,I18NCode for Conv,Conv.,konv.,Yes
I18N_CONVERSION,I18NCode for Conversion,Conversion,Pretvorba,Yes
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),Pretvorba (6 mesecev),Yes
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,Potrebna je pretvorba,Yes
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,Upravljanje piškotkov,Yes
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,Politika piškotkov,Yes
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,Koordinacijska ekipa,Yes
I18N_COPY,I18NCode for Copy,Copy,Kopiraj,Yes
I18N_CORE,I18NCode for Core,Core,Jedro,Yes
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,Osnovna poglavja,Yes
I18N_CORE_CHAPTER_NO_NEW_MEMBER,I18NCode for Core Chapter No New Member,Core Chapter No New Member,Osrednje poglavje brez novega člana,Yes
I18N_CORE_CHAPTERS_IS_REQUIRED,I18NCode for Core chapters is required,Core chapters is required,Potrebna so osnovna poglavja,Yes
I18N_CORE_CHAPTERS_THE_REGION,I18NCode for Core Chapters The Region,Core Chapters,Osnovna poglavja,Yes
I18N_CORE_GROUP,I18NCode for Core Group,Core,Jedro,Yes
I18N_CORE_GROUP_MEMBERS,I18NCode for Core Group Members,Core Members,Jedrni člani,Yes
I18N_CORE_MEMBER,I18NCode for Core Member Caption,Core Members,Jedrni člani,Yes
I18N_CORE_MEMBERS,I18NCode for Code Members Kpi Graph,Core Members,Jedrni člani,Yes
I18N_CORE_MEMBERS_IS_REQUIRED,I18NCode for Core members is required,Core Members is required,Potreben je temeljni član,Yes
I18N_CORE_MEMBERS_THE_REGION,I18NCode for Core Members The Region,Core Members,Jedrni člani,Yes
I18N_COUNTRY,I18NCode for Country,Country,Država,Yes
I18N_COUNTRY_AVG,I18NCode for Country AVG,Country Avg,Država Povp,Yes
I18N_COUNTRY_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Country cannot exceed 50 characters,Country cannot exceed 50 characteres,Država ne sme presegati 50 znakov,Yes
I18N_COUNTRY_DEVELOPMENT,I18nCode for Country Development,Country Development,Razvoj države,Yes
I18N_COUNTRY_EVOLUTION,I18NCode for Country Evolution Page,Country Evolution,Razvoj države,Yes
I18N_COUNTRY_GOAL_EDIT,I18NCode for Country GOAL EDIT,Edit Country Goal,Uredi državni cilj,Yes
I18N_COUNTRY_GOAL_MENU,I18NCode for Country Goal Menu,Country,Država,Yes
I18N_COUNTRY_IS_REQUIRED,I18NCode for Country is required,Country is required,Država je obvezna,Yes
I18N_COUNTRY_LAST_MONTH,I18NCode for Country Last Month,Country Last Month,Država Prejšnji mesec,Yes
I18N_COUNTRY_TABLE,I18NCode for Country Label,Country,Država,Yes
I18N_CREATE,I18NCode for Create,Create,Ustvari,Yes
I18N_CREATE_A_GROUP_FOR_YOUR_CONTACTS,I18NCode for Create a group for your contacts,Create a group chat for your contacts,Ustvarite skupinski klepet za svoje stike,Yes
I18N_CREATE_AN_ACCOUNT,I18NCode for Create an Account,Create an account,Ustvari račun,Yes
I18N_CREATE_CHAT,i18NCode for Create Chat,Create chat,Ustvari klepet,Yes
I18N_CREATE_GROUP,I18NCode for Create group,Create group,Ustvari skupino,Yes
I18N_CREATE_NEW_CHAT,I18NCode for Create New Chat,Create New Chat,Ustvari nov klepet,Yes
I18N_CREATE_POLL,I18NCode for Create Poll,Create Poll,Ustvari anketo,Yes
I18N_CREATE_USER_ERROR_MESSAGE,I18NCode for Create User Error Message,"System could not find the profile with this email, please contact our support.","Sistem ni mogel najti profila s tem e-poštnim sporočilom, obrnite se na našo podporo.",Yes
I18N_CREATED_AT,,Created at,Ustvarjeno ob,Yes
I18N_CURRENCY,I18Ncode for currency ,$,$,Yes
I18N_CURRENT,I18NCode for Current,Current,Trenutno,Yes
I18N_CURRENT_COUNT,"I18NCode for Current Count
",Current Count,Trenutno štetje,Yes
I18N_CURRENT_MONTH,I18NCodefor Current Month,Current Month,Trenutni mesec,Yes
I18N_CURRENT_MOTH,I18NCode to represent current moth,Current Month,Trenutni mesec,Yes
I18N_CURRENT_REPORTS,I18NCode for Current Reports,Current reports,Aktualna poročila,Yes
I18N_CURRENT_STATUS,I18NCode for Current Status,Current status,Trenutno stanje,Yes
I18N_DA,I18NCode for Area Director,Area Director,Področni direktor,Yes
I18N_DA_SHORTNAME_,I18NCode for DA ShortName	,AD,AD,Yes
I18N_DASHBOARDS,I18NCode for dashboards,Dashboard,Nadzorna plošča,Yes
I18N_DATA_ANALYSIS,,Data Analysis,Analiza podatkov,Yes
I18N_DATE,I18NCode for Date,Date,Datum,Yes
I18N_DAYS,I18NCode for Days,Days,dni,Yes
I18N_DAYS_TO_END,I18NCode for Days to end,Days till End,Dnevi do konca,Yes
I18N_DAYS_TO_START,I18NCode for Days to start,Days to start,Dnevi za začetek,Yes
I18N_DAYS_TOTAL,I18NCode for Days Total,Total Days,Skupno število dni,Yes
I18N_DC,I18NCode for Consultant Director,Consultant Director,Skupno število dni,Yes
I18N_DC_PROFILE,I18NCode for DC,DC,Direktor svetovalec,Yes
I18N_DC_SHORTNAME,I18NCode for DC ShortName,CD,DC,Yes
I18N_DC_TOTAL,I18NCode for DC Total,DC,DC,Yes
I18N_DECEMBER,I18NCode for December,December,DC,Yes
I18N_DEFINE_GOALS__TRACK_AND_IMPROVE_PRODUCTIVITY_AND_MONITORING_INDICATORS_FOR_ALL_,"I18NCode for Define goals, track and improve Productivity and Monitoring indicators for all.","Define goals, track and improve Productivity and Monitoring indicators for all","Določite cilje, spremljajte in izboljšajte kazalnike produktivnosti in spremljanja za vse",Yes
I18N_DEFINED,I18NCode for Defined,defined.,definiran.,Yes
I18N_DEFINED_GOALS,I18NCode for Defined Goals,,,Yes
I18N_DELETE_CANCEL_BUTTON,I18NCode for Delete Cancel Button,"No, cancel","Ne, prekliči",Yes
I18N_DELETE_CHAT,I18NCode for Delete Chat,Delete Chat,Izbriši klepet,Yes
I18N_DELETE_CHAT_MESSAGE_MODAL,I18NCode for Delete Chat Message Modal,Are you sure you want to delete this chat?,"Ali ste prepričani, da želite izbrisati ta klepet?",Yes
I18N_DELETE_CONFIRM_BUTTON,I18NCode for Delete Confirm Button,"Yes, delete it!","Da, izbriši!",Yes
I18N_DELETE_MESSAGE_MODAL,I18NCode for Delete Message Modal,Are you sure you want to delete this message?,"Ali ste prepričani, da želite izbrisati to sporočilo?",Yes
I18N_DELETE_MESSAGE_SUCCESS,I18NCode for Delete Message Success,Message delete with success,Sporočilo uspešno izbrisano,Yes
I18N_DELETE_MODAL,I18NCode for Delete Modal Text,Are you sure you want to delete this item?,"Ali ste prepričani, da želite izbrisati ta element?",Yes
I18N_DELETE_SUCCESS_MODAL,I18NCode for Delete Success Modal Text,Deleted with Success,Izbrisano z uspehom,Yes
I18N_DELETE_WARNING_TEXT,I18NCode for Delete Warning Text,The item was not deleted!,Element ni bil izbrisan!,Yes
I18N_DEMOTE_TO_MEMBER,"I18NCode for Demote to member
",Demote to member,Znižaj v člana,Yes
I18N_DESCRIPTION,,Description,Opis,Yes
I18N_DETAILS,I18NCode for details,Details,Podrobnosti,Yes
I18N_DEVELOPMENT,I18NCode for Franchise Development,Development,Razvoj,Yes
I18N_DEX,I18NCode for DEX,DEX,DEX,Yes
I18N_DIF,I18NCode for Dif,Dif.,Dif.,Yes
I18N_DIFUSION,I18NCode for Difusion,Difusion,Difuzija,Yes
I18N_DIRECTOR,I18NCode fo Director,Director,Direktor,Yes
I18N_DIRECTOR_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director cannot exceed 50 characters,Director cannot exceed 50 characters,Direktor ne sme presegati 50 znakov,Yes
I18N_DIRECTOR_CONSULTANTS,I18NCode for Director Consultants,Director Consultants,Svetovalci direktorja,Yes
I18N_DIRECTOR_DO_NOT_PAY,I18NCode for Director Don´t Pay label,Allow the Director not to pay,"Dovolite direktorju, da ne plača",Yes
I18N_DIRECTOR_DO_NOT_PAY_MEMBERSHIP,I18NCode for Director Don't Pay Membership,Director Don't Pay Membership,Direktor Ne Plačuj Članarine,Yes
I18N_DIRECTOR_GOAL,I18NCode for Director Goal ,Edit Director Goal,Uredi direktorjev cilj,Yes
I18N_DIRECTOR_GOAL_MENU,I18NCode for Diretor Goals Menu,Director,Direktor,Yes
I18N_DIRECTOR_IS_REQUIRED,I18NCode for Director is required,Director is required,Direktor,Yes
I18N_DIRECTOR_PROFILE_PAGE,I18NCode for Director Profile Page,,,Yes
I18N_DIRECTOR_TYPE,I18NCode for Director Type,Director Type,Vrsta direktorja,Yes
I18N_DIRECTOR_TYPE_CANNOT_EXCEED_50_CHARACTERS,I18NCode for Director Type cannot exceed 50 characters,Director type cannot exceed 50 characters,Vrsta režiserja ne sme presegati 50 znakov,Yes
I18N_DIRECTOR_TYPE_IS_REQUIRED,I18NCode for Director Type is Required,Director type is required,Vrsta direktorja je obvezna,Yes
I18N_DIRECTORS,I18NCode for Directors,Directors,Direktorji,Yes
I18N_DISCARD,I18NCode for the discard button,Cancel,Prekliči,Yes
I18N_DO_MEMBERS_HAVE_ACCESS_TO_R2Y,I18NCode for Do members have access to R2Y,Do members have access to R2Y,Ali imajo člani dostop do R2Y,Yes
I18N_DOLAR_MEMBER,I18NCode for $ /Member,/Member,/Član,Yes
I18N_DOLAR12M,I18NCode for $ /12m,/12m,/12m,Yes
I18N_DONT_EXIST_MEMBERS,I18NCode for Dont Exist Members,Don't exist members,Člani ne obstajajo,Yes
I18N_DOWN,I18NCode for Down,Down,Dol,Yes
I18N_DOWNLOAD_COMPLETED,"I18NCode for Download completed
",Download completed,Prenos končan,Yes
I18N_DOWNLOAD_DOCUMENT_HERE,I18NCode for Download Document here,Download the document here,Prenesite dokument tukaj,Yes
I18N_DOWNLOAD_FAILED,I18NCode for Download failed,Download failed,Prenos ni uspel,Yes
I18N_DOWNLOADED_SUCCESSFULLY,"I18NCode for Downloaded Successfully

",Downloaded successfully,Preneseno uspešno,Yes
I18N_DROP_TYPE,I18NCode for Drop Type,Drop Type,Vrsta padca,Yes
I18N_DROPPED,I18NCode for Dropped,Dropped,Spuščeno,Yes
I18N_DROPPED_MEMBERS,I18NCode for Dropped Members,Dropped Members,Izpuščeni člani,Yes
I18N_DROPPED_MEMBERS_ACTIVE_CHAPTERS,I18NCode for Dropped Members Active Chapters,Dropped Members / Active Chapters,Izpuščeni člani/aktivna poglavja,Yes
I18N_DROPS,I18NCode for Drops,Drops,kapljice,Yes
I18N_DROPS_IS_REQUIRED,I18NCode for Drops is required,Drops is required,Potrebne so kapljice,Yes
I18N_DROPS_THE_REGION,I18NCode for Drops The Region,Drops,kapljice,Yes
I18N_DROPSS,I18NCode for Drops,Drops,kapljice,Yes
I18N_DUPLICATE_CONFIRM_BUTTON,I18NCode for Duplicate Confirm Button,"Yes, duplicate!","Da, dvojnik!",Yes
I18N_DUPLICATE_VALUE,I18NCode for Duplicate Value,Duplicate Value,Podvojena vrednost,Yes
I18N_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
",Duration of cookies,Trajanje piškotkov,Yes
I18N_ED,I18NCode for ED,ED,ED,Yes
I18N_EDIT,I18NCode for Edit ,Edit,Uredi,Yes
I18N_EDIT_CHAPTER_NAME,I18NCode for Edit Chapter Name,Edit Chapter Name,Uredi ime poglavja,Yes
I18N_EDIT_MEMBER_NAME,I18NCode for Edit Member Name,Edit Member Name,Uredi ime člana,Yes
I18N_EDIT_REGION_NAME,I18NCode for Edit Region Name,Edit Region Name,Uredi ime regije,Yes
I18N_EDIT_TEAM,I18NCode for Edit Team,Editing Team,Ekipa za urejanje,Yes
I18N_EDIT_VALUES,I18NCode for Edit Values,Edit Value,Uredi vrednost,Yes
I18N_EL,I18NCode for EL,LT,LT,Yes
I18N_ELECTRONIC_CONTACT,"I18NCode for Electronic contact
",Electronic Contact,Elektronski kontakt,Yes
I18N_EMAIL,I18NCode for Email label,Email,E-pošta,Yes
I18N_EMAIL_IS_REQUIRED,I18NCode for Email Is Required,Email is a required field,E-pošta je obvezno polje,Yes
I18N_EMAIL_SENT_SUCCESSFULLY,I18NCode for Email Sent Successfully,Email sent successfully!,E-pošta je bila uspešno poslana!,Yes
I18N_EMPTY_TEAM,I18NCode for Empty Team,Empty Team,Prazna ekipa,Yes
I18N_EMPTY_TRANSLATIONS,No translations available for the selected item.,No translations available for the selected item.,Za izbrani element ni prevodov.,Yes
I18N_ENABLE_CALCULATIONS,I18NCode for Enable Calculations,Enable Calculations,Omogoči izračune,Yes
I18N_END_DATE,I18NCode for End Date,End Date,Končni datum,Yes
I18N_END_DATE_IS_REQUIRED,I18NCode for  End Date is required,End date is required,Končni datum je obvezen,Yes
I18N_ENTER_YOUR_EMAIL_TO_RESET_YOUR_PASSWORD_,"I18NCode for Enter your email to reset your password.
",Enter your email to reset your password,Vnesite svoj e-poštni naslov za ponastavitev gesla,Yes
I18N_ENTREPRISE,I18NCode for hidden row in Upcoming Renewels Page,Company,Podjetje,Yes
I18N_EQUAL,I18NCode for Equal,Equal,Enakopravni,Yes
I18N_ERROR,I18NCode for Error,Error,Napaka,Yes
I18N_ERROR_PROCESSING_REQUEST,I18NCode for Error Processing Request,Erros processing your request,Napaka pri obdelavi vaše zahteve,Yes
I18N_EVENT_NAME,18NCode for Event Name,Event Name,Ime dogodka,Yes
I18N_EVOLUCAO,I18NCode for Evolution,Evolution,Evolucija,Yes
I18N_EVOLUTION_REPORT,I18NCode for Evolution Report,Evolution Report,Poročilo o razvoju,Yes
I18N_EVOLUTIONS,I18NCode for Evolution page title,Evolutions,Evolucije,Yes
I18N_EXCLUDED,I18NCode for Excluded,Excluded,Izključeno,Yes
I18N_EXECUTIVE_DIRECTOR,I18NCode for Executive Director,Executive Director,Izvršni direktor,Yes
I18N_EXISTING_REPORTS,I18NCode for Existing Reports,Existing Reports,Obstoječa poročila,Yes
I18N_EXIT,I18NCode for Exit,Exit,Izhod,Yes
I18N_EXPIRED,I18NCode for Expired Tasks,Expired,potekel,Yes
I18N_EXPORT,I18NCode for Export,Export,Izvozi,Yes
I18N_EXPORT_COPY,I18NCode user for copy  on export dropdown,Copy to clipboard,Kopiraj v odložišče,Yes
I18N_EXPORT_CSV,I18NCode user for export as csv on dropdown,Export as CSV,Izvozi kot CSV,Yes
I18N_EXPORT_EVOLUTION_PDF,I18NCode for Export Evolution Pdf Button,Export Evolution PDF,Izvozi Evolution PDF,Yes
I18N_EXPORT_EXCEL,I18NCode user for export as excel on dropdown,Export as Excel,Izvozi kot Excel,Yes
I18N_EXPORT_GENERAL_REPORT,I18NCode for Export General Report in Notable Networkers Page,Export General Report,Izvozno splošno poročilo,Yes
I18N_EXPORT_PDF,I18NCode user for export as pdf on dropdown,Export as PDF,Izvozi kot PDF,Yes
I18N_EXPORT_REPORT,I18NCode for label on export dropdown,Export Report,Poročilo o izvozu,Yes
I18N_EXPORT_TRANSLATIONS,I18NCode for Export Translations,Export Translations,Izvozi prevode,Yes
I18N_EXTERNAL,I18NCode for External,External,Zunanji,Yes
I18N_FAILED_TO_CREATE_ACCOUNT,I18NCode for Failed To Create Account,Failed to create account,Računa ni bilo mogoče ustvariti,Yes
I18N_FAILED_TO_RESET_PASSWORD,I18NCode for Failed to reset Password,Failed to reset Password,Ponastavitev gesla ni uspela,Yes
I18N_FAILED_TO_SEND_EMAIL,I18NCode for Failed To Send Email,Failed to send email,E-pošte ni bilo mogoče poslati,Yes
I18N_FALLING_MEMBERS,I18NCode for Falling members,Falling,Padec,Yes
I18N_FAQ_1,I18NCode for Faq 1,"Chapter President shows as ""N/A"", why?","Predsednik poglavja je prikazan kot ""N/A"", zakaj?",Yes
I18N_FAQ_1_ANSWER,I18NCode for Faq 1 Answer,"When Chapter Leadership name shows as ""N/A"" it means that his/her email was changed. Need to update his/her email on reporting2you","Ko je ime vodje poglavja prikazano kot ""N/A"", to pomeni, da je bil njegov/njen e-poštni naslov spremenjen.",Yes
I18N_FAQ_2,I18NCode for Faq 2,Where can I find Chapter Reports?,Kje lahko najdem poročila poglavij?,Yes
I18N_FAQ_2_ANSWER,I18NCode for Faq 2 Answer,"Go to Reports Menu click the plus sign (""+"") to open Chapters tree and then click on the chapters name, you will get the list of reports from current month to that chapter.<br/> If you want to get a previous report you should click the ""History"" item in the Chapters list and you will be able to get reports from the past 12 month.","Pojdite v meni Poročila, kliknite znak plus (»+«), da odprete drevo poglavij in nato kliknite ime poglavij, dobili boste seznam poročil od trenutnega meseca do tega poglavja.<br/> Če želite prejeti prejšnje poročilo, kliknite element »Zgodovina« na seznamu poglavij in dobili boste lahko poročila za zadnjih 12 mesecev.",Yes
I18N_FAQS,I18NCode for Faqs,Faqs,pogosta vprašanja,Yes
I18N_FAST__EFFICIENT_AND_PRODUCTIVE,"I18NCode for Fast, Efficient and Productive
","Fast, Efficient and Productive","Hitro, učinkovito in produktivno",Yes
I18N_FEBRUARY,I18NCode for February,February,februar,Yes
I18N_FEE,I18NCode for Fee,Fee,Pristojbina,Yes
I18N_FILES,I18NCode for Files,Files,Datoteke,Yes
I18N_FILL,I18NCode for Fill,Fill,Izpolnite,Yes
I18N_FILL_CHAPTERS,I18NCode for Fill Chapters,Fill Chapters,Izpolnite poglavja,Yes
I18N_FILTER,I18NCode for Filter,Filter,Filter,Yes
I18N_FILTER_OPTIONS,I18NCode for Filter Options,Filter options,Možnosti filtra,Yes
I18N_FIRST,I18NCode for First,First,najprej,Yes
I18N_FIRST_MEMBERS_IN_TRAFFIC_LIGHTS,I18NCode for First Members in Traffic Lights,First Members in Traffic Lights,Prvi člani v semaforju,Yes
I18N_FIRST_NAME,I18NCode for First Name label,First Name,Ime,Yes
I18N_FIRST_YEAR_RETAIN,I18NCode for First Year Retain,First Year,Prvo leto,Yes
I18N_FIRST_YEAR_RETENTION,I18NCode for First Year Retention,First Year Retention,Prvo leto zadrževanja,Yes
I18N_FLAG,I18NCode for the flag,Flag,Zastava,Yes
I18N_FOLLOW_UP,I18NCode for Follow Up Page in Tasks Menu,Follow Up,Nadaljevanje,Yes
I18N_FOR,"i18NCode for ""For""",for,za,Yes
I18N_FOR_SUBSTITUTION,"I18NCode for ""For Substitution""",For Substitution,Za zamenjavo,Yes
I18N_FORGOT_PASSWORD_,I18NCode for Forgot Password?,Forgot Password?,Ste pozabili geslo?,Yes
I18N_FORMATION,I18NCode for Formation,Formation,Nastanek,Yes
I18N_FORMATIONS,I18NCode for Formations,Formations,Nastanek,Yes
I18N_FORMATS,I18NCode for Formats,Formats,Formati,Yes
I18N_FRANCHISE,I18NCode for Franchise,Franchise,Franšiza,Yes
I18N_FROM,I18Code for From,From,Od,Yes
I18N_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",Functional cookies,Funkcionalni piškotki,Yes
I18N_FUTURE_RENEWALS,I18NCode for Future Renewals,Future Renewals,Prihodnje obnovitve,Yes
I18N_GAME_RESULT,I18NCode for Game Result,Game result for,Rezultat igre za,Yes
I18N_GAMES,I18NCode for Games,Games,igre,Yes
I18N_GENERATE,I18NCode for Generate,Generate,Ustvari,Yes
I18N_GENERATE_TEAMS,I18NCode for Generate Teams,Automatically generate teams,Samodejno ustvarite ekipe,Yes
I18N_GET_DEFAULT,I18NCode for Get Default,Get Default,Get Default,Yes
I18N_GIVE_NO_REFERRALS_ON_LAST,I18NCode for Give No Referrals On Last,Give No Referrals On Last,Nazadnje ne daj priporočil,Yes
I18N_GIVEN_BUSINESS,I18NCode for Given Business Chart,Given Business,Given Business,Yes
I18N_GIVEN_REFERRALS,I18NCode for Given Referrals Chart,Given Referrals,Glede na priporočila,Yes
I18N_GOAL,I18NCode for Goal,Goal,Cilj,Yes
I18N_GOAL_ABREV,I18NCode for Goal,Goal,Cilj,Yes
I18N_GOAL_ABSENTISM_TOOLTIP,I18NCode for Goal Absentism Tooltip,Expected absence at the end of the period (ex: 2.5),Pričakovana odsotnost ob koncu obdobja (npr.: 2.5),Yes
I18N_GOAL_CEU_TOOLTIP,I18Ncode for Goal Ceu Tooltip,Chapter Education Units/member/week,Izobraževalne enote poglavja/član/teden,Yes
I18N_GOAL_CONVERSIONTOOLTIP,I18NCode for Goal ConversionTooltip,Average Conversion (ex: 17.5),"Povprečna konverzija (npr.: 17,5)",Yes
